landcover_class,landcover_name,lighting_radiance,lst_celsius,uhi_intensity,no2,geometry
6,Built area,7.123389924,29.02163265,0.319016543,9.12E-05,"{""geodesic"": false, ""type"": ""Polygon"", ""coordinates"": [[[77.145, 28.4], [77.15249999999999, 28.4], [77.15249999999999, 28.40625], [77.145, 28.40625], [77.145, 28.4]]]}"
1,Trees,6.536925736,28.74207143,,9.04E-05,"{""geodesic"": false, ""type"": ""Polygon"", ""coordinates"": [[[77.1525, 28.4], [77.16, 28.4], [77.16, 28.40625], [77.1525, 28.40625], [77.1525, 28.4]]]}"
1,Trees,5.033872991,28.42060818,,9.02E-05,"{""geodesic"": false, ""type"": ""Polygon"", ""coordinates"": [[[77.16, 28.4], [77.16749999999999, 28.4], [77.16749999999999, 28.40625], [77.16, 28.40625], [77.16, 28.4]]]}"
1,Trees,5.898098503,28.27354704,,9.02E-05,"{""geodesic"": false, ""type"": ""Polygon"", ""coordinates"": [[[77.1675, 28.4], [77.175, 28.4], [77.175, 28.40625], [77.1675, 28.40625], [77.1675, 28.4]]]}"
1,Trees,5.516290071,28.23406065,,9.04E-05,"{""geodesic"": false, ""type"": ""Polygon"", ""coordinates"": [[[77.175, 28.4], [77.18249999999999, 28.4], [77.18249999999999, 28.40625], [77.175, 28.40625], [77.175, 28.4]]]}"
1,Trees,4.120798051,28.04122947,,8.98E-05,"{""geodesic"": false, ""type"": ""Polygon"", ""coordinates"": [[[77.1825, 28.4], [77.19, 28.4], [77.19, 28.40625], [77.1825, 28.40625], [77.1825, 28.4]]]}"
1,Trees,4.511110176,27.87936121,,9.08E-05,"{""geodesic"": false, ""type"": ""Polygon"", ""coordinates"": [[[77.19, 28.4], [77.19749999999999, 28.4], [77.19749999999999, 28.40625], [77.19, 28.40625], [77.19, 28.4]]]}"
1,Trees,3.801055688,27.71348146,,9.16E-05,"{""geodesic"": false, ""type"": ""Polygon"", ""coordinates"": [[[77.1975, 28.4], [77.205, 28.4], [77.205, 28.40625], [77.1975, 28.40625], [77.1975, 28.4]]]}"
1,Trees,3.520254268,27.50686793,,9.25E-05,"{""geodesic"": false, ""type"": ""Polygon"", ""coordinates"": [[[77.205, 28.4], [77.21249999999999, 28.4], [77.21249999999999, 28.40625], [77.205, 28.40625], [77.205, 28.4]]]}"
1,Trees,3.778344645,27.28737023,,9.38E-05,"{""geodesic"": false, ""type"": ""Polygon"", ""coordinates"": [[[77.2125, 28.4], [77.22, 28.4], [77.22, 28.40625], [77.2125, 28.40625], [77.2125, 28.4]]]}"
1,Trees,5.533192647,27.38317983,,9.53E-05,"{""geodesic"": false, ""type"": ""Polygon"", ""coordinates"": [[[77.22, 28.4], [77.22749999999999, 28.4], [77.22749999999999, 28.40625], [77.22, 28.40625], [77.22, 28.4]]]}"
1,Trees,6.891381359,27.64422682,,9.88E-05,"{""geodesic"": false, ""type"": ""Polygon"", ""coordinates"": [[[77.2275, 28.4], [77.235, 28.4], [77.235, 28.40625], [77.2275, 28.40625], [77.2275, 28.4]]]}"
