"gid","landcover_","landcove_1","lighting_r","lst_celsiu","uhi_intens","no2","geom"
130,"1","Trees","6.799585505387100","28.187828438692573",NULL,"0.000090227090658","010600000001000000010300000001000000050000000AD7A3703D4A53400000000000683C400AD7A3703D4A53409A99999999693C401E85EB51B84A53409A99999999693C401E85EB51B84A53400000000000683C400AD7A3703D4A53400000000000683C40"
48,"1","Trees","6.536925735505853","28.742071428571453",NULL,"0.000090443803019","01060000000100000001030000000100000005000000F6285C8FC24953406666666666663C40F6285C8FC24953400000000000683C400AD7A3703D4A53400000000000683C400AD7A3703D4A53406666666666663C40F6285C8FC24953406666666666663C40"
49,"1","Trees","5.033872990689035","28.420608179857343",NULL,"0.000090227090658","010600000001000000010300000001000000050000000AD7A3703D4A53406666666666663C400AD7A3703D4A53400000000000683C401E85EB51B84A53400000000000683C401E85EB51B84A53406666666666663C400AD7A3703D4A53406666666666663C40"
50,"1","Trees","5.898098502782487","28.273547038327560",NULL,"0.000090241553251","010600000001000000010300000001000000050000001F85EB51B84A53406666666666663C401F85EB51B84A53400000000000683C4033333333334B53400000000000683C4033333333334B53406666666666663C401F85EB51B84A53406666666666663C40"
51,"1","Trees","5.516290071239761","28.234060646011908",NULL,"0.000090378947880","0106000000010000000103000000010000000500000033333333334B53406666666666663C4033333333334B53400000000000683C4047E17A14AE4B53400000000000683C4047E17A14AE4B53406666666666663C4033333333334B53406666666666663C40"
52,"1","Trees","4.120798051053680","28.041229467396750",NULL,"0.000089784021760","0106000000010000000103000000010000000500000048E17A14AE4B53406666666666663C4048E17A14AE4B53400000000000683C405C8FC2F5284C53400000000000683C405C8FC2F5284C53406666666666663C4048E17A14AE4B53406666666666663C40"
53,"1","Trees","4.511110175666162","27.879361207897819",NULL,"0.000090783784509","010600000001000000010300000001000000050000005C8FC2F5284C53406666666666663C405C8FC2F5284C53400000000000683C40703D0AD7A34C53400000000000683C40703D0AD7A34C53406666666666663C405C8FC2F5284C53406666666666663C40"
54,"1","Trees","3.801055688310314","27.713481456732406",NULL,"0.000091617439894","01060000000100000001030000000100000005000000713D0AD7A34C53406666666666663C40713D0AD7A34C53400000000000683C4085EB51B81E4D53400000000000683C4085EB51B81E4D53406666666666663C40713D0AD7A34C53406666666666663C40"
55,"1","Trees","3.520254268484601","27.506867927658902",NULL,"0.000092500837081","0106000000010000000103000000010000000500000085EB51B81E4D53406666666666663C4085EB51B81E4D53400000000000683C4099999999994D53400000000000683C4099999999994D53406666666666663C4085EB51B81E4D53406666666666663C40"
56,"1","Trees","3.778344644552986","27.287370225013099",NULL,"0.000093806428633","010600000001000000010300000001000000050000009A999999994D53406666666666663C409A999999994D53400000000000683C40AE47E17A144E53400000000000683C40AE47E17A144E53406666666666663C409A999999994D53406666666666663C40"
57,"1","Trees","5.533192646664543","27.383179833679836",NULL,"0.000095329138200","01060000000100000001030000000100000005000000AE47E17A144E53406666666666663C40AE47E17A144E53400000000000683C40C2F5285C8F4E53400000000000683C40C2F5285C8F4E53406666666666663C40AE47E17A144E53406666666666663C40"
58,"1","Trees","6.891381359100343","27.644226817702862",NULL,"0.000098836145587","01060000000100000001030000000100000005000000C3F5285C8F4E53406666666666663C40C3F5285C8F4E53400000000000683C40D7A3703D0A4F53400000000000683C40D7A3703D0A4F53406666666666663C40C3F5285C8F4E53406666666666663C40"
59,"1","Trees","5.448457663746203","27.871196581196600",NULL,"0.000101423695453","01060000000100000001030000000100000005000000D7A3703D0A4F53406666666666663C40D7A3703D0A4F53400000000000683C40EB51B81E854F53400000000000683C40EB51B81E854F53406666666666663C40D7A3703D0A4F53406666666666663C40"
60,"1","Trees","5.105871424860560","28.146278911564654",NULL,"0.000103956062997","01060000000100000001030000000100000005000000EC51B81E854F53406666666666663C40EC51B81E854F53400000000000683C4000000000005053400000000000683C4000000000005053406666666666663C40EC51B81E854F53406666666666663C40"
1112,"1","Trees","7.766717554147271","27.527401613374771",NULL,"0.000135056531245","01060000000100000001030000000100000005000000D7A3703D0A4F534033333333337B3C40D7A3703D0A4F5340CDCCCCCCCC7C3C40EB51B81E854F5340CDCCCCCCCC7C3C40EB51B81E854F534033333333337B3C40D7A3703D0A4F534033333333337B3C40"
1113,"1","Trees","6.748035307075282","27.629701343952249",NULL,"0.000136953594161","01060000000100000001030000000100000005000000EC51B81E854F534033333333337B3C40EC51B81E854F5340CDCCCCCCCC7C3C400000000000505340CDCCCCCCCC7C3C40000000000050534033333333337B3C40EC51B81E854F534033333333337B3C40"
