landcover_class,geometry,landcover_name
4.0,"{""geodesic"": false, ""type"": ""Polygon"", ""coordinates"": [[[76.89, 28.45], [76.92, 28.45], [76.92, 28.474999999999998], [76.89, 28.474999999999998], [76.89, 28.45]]]}",Crops
4.0,"{""geodesic"": false, ""type"": ""Polygon"", ""coordinates"": [[[76.92, 28.45], [76.95, 28.45], [76.95, 28.474999999999998], [76.92, 28.474999999999998], [76.92, 28.45]]]}",Crops
6.000000000000021,"{""geodesic"": false, ""type"": ""Polygon"", ""coordinates"": [[[76.95, 28.45], [76.98, 28.45], [76.98, 28.474999999999998], [76.95, 28.474999999999998], [76.95, 28.45]]]}",
6.0000000000000595,"{""geodesic"": false, ""type"": ""Polygon"", ""coordinates"": [[[76.98, 28.45], [77.01, 28.45], [77.01, 28.474999999999998], [76.98, 28.474999999999998], [76.98, 28.45]]]}",
6.00000000000008,"{""geodesic"": false, ""type"": ""Polygon"", ""coordinates"": [[[77.01, 28.45], [77.04, 28.45], [77.04, 28.474999999999998], [77.01, 28.474999999999998], [77.01, 28.45]]]}",
6.000000000000057,"{""geodesic"": false, ""type"": ""Polygon"", ""coordinates"": [[[77.04, 28.45], [77.07000000000001, 28.45], [77.07000000000001, 28.474999999999998], [77.04, 28.474999999999998], [77.04, 28.45]]]}",
6.000000000000066,"{""geodesic"": false, ""type"": ""Polygon"", ""coordinates"": [[[77.07000000000001, 28.45], [77.10000000000001, 28.45], [77.10000000000001, 28.474999999999998], [77.07000000000001, 28.474999999999998], [77.07000000000001, 28.45]]]}",
1.0,"{""geodesic"": false, ""type"": ""Polygon"", ""coordinates"": [[[77.1, 28.45], [77.13, 28.45], [77.13, 28.474999999999998], [77.1, 28.474999999999998], [77.1, 28.45]]]}",Trees
6.0,"{""geodesic"": false, ""type"": ""Polygon"", ""coordinates"": [[[77.13, 28.45], [77.16, 28.45], [77.16, 28.474999999999998], [77.13, 28.474999999999998], [77.13, 28.45]]]}",Built area
6.0,"{""geodesic"": false, ""type"": ""Polygon"", ""coordinates"": [[[77.16, 28.45], [77.19, 28.45], [77.19, 28.474999999999998], [77.16, 28.474999999999998], [77.16, 28.45]]]}",Built area
