landcover_class,landcover_name,lighting_radiance,geometry
1,Trees,6.536925735505853,"{""geodesic"": false, ""type"": ""Polygon"", ""coordinates"": [[[77.1525, 28.4], [77.16, 28.4], [77.16, 28.40625], [77.1525, 28.40625], [77.1525, 28.4]]]}"
1,Trees,5.033872990689035,"{""geodesic"": false, ""type"": ""Polygon"", ""coordinates"": [[[77.16, 28.4], [77.16749999999999, 28.4], [77.16749999999999, 28.40625], [77.16, 28.40625], [77.16, 28.4]]]}"
1,Trees,5.898098502782487,"{""geodesic"": false, ""type"": ""Polygon"", ""coordinates"": [[[77.1675, 28.4], [77.175, 28.4], [77.175, 28.40625], [77.1675, 28.40625], [77.1675, 28.4]]]}"
1,Trees,5.516290071239761,"{""geodesic"": false, ""type"": ""Polygon"", ""coordinates"": [[[77.175, 28.4], [77.18249999999999, 28.4], [77.18249999999999, 28.40625], [77.175, 28.40625], [77.175, 28.4]]]}"
1,Trees,4.12079805105368,"{""geodesic"": false, ""type"": ""Polygon"", ""coordinates"": [[[77.1825, 28.4], [77.19, 28.4], [77.19, 28.40625], [77.1825, 28.40625], [77.1825, 28.4]]]}"
1,Trees,4.511110175666162,"{""geodesic"": false, ""type"": ""Polygon"", ""coordinates"": [[[77.19, 28.4], [77.19749999999999, 28.4], [77.19749999999999, 28.40625], [77.19, 28.40625], [77.19, 28.4]]]}"
1,Trees,3.801055688310314,"{""geodesic"": false, ""type"": ""Polygon"", ""coordinates"": [[[77.1975, 28.4], [77.205, 28.4], [77.205, 28.40625], [77.1975, 28.40625], [77.1975, 28.4]]]}"
1,Trees,3.5202542684846008,"{""geodesic"": false, ""type"": ""Polygon"", ""coordinates"": [[[77.205, 28.4], [77.21249999999999, 28.4], [77.21249999999999, 28.40625], [77.205, 28.40625], [77.205, 28.4]]]}"
1,Trees,3.7783446445529854,"{""geodesic"": false, ""type"": ""Polygon"", ""coordinates"": [[[77.2125, 28.4], [77.22, 28.4], [77.22, 28.40625], [77.2125, 28.40625], [77.2125, 28.4]]]}"
1,Trees,5.533192646664543,"{""geodesic"": false, ""type"": ""Polygon"", ""coordinates"": [[[77.22, 28.4], [77.22749999999999, 28.4], [77.22749999999999, 28.40625], [77.22, 28.40625], [77.22, 28.4]]]}"
1,Trees,6.891381359100343,"{""geodesic"": false, ""type"": ""Polygon"", ""coordinates"": [[[77.2275, 28.4], [77.235, 28.4], [77.235, 28.40625], [77.2275, 28.40625], [77.2275, 28.4]]]}"
1,Trees,5.448457663746203,"{""geodesic"": false, ""type"": ""Polygon"", ""coordinates"": [[[77.235, 28.4], [77.24249999999999, 28.4], [77.24249999999999, 28.40625], [77.235, 28.40625], [77.235, 28.4]]]}"
1,Trees,5.10587142486056,"{""geodesic"": false, ""type"": ""Polygon"", ""coordinates"": [[[77.2425, 28.4], [77.25, 28.4], [77.25, 28.40625], [77.2425, 28.40625], [77.2425, 28.4]]]}"
1,Trees,8.32593213178344,"{""geodesic"": false, ""type"": ""Polygon"", ""coordinates"": [[[77.25, 28.4], [77.2575, 28.4], [77.2575, 28.40625], [77.25, 28.40625], [77.25, 28.4]]]}"
1,Trees,9.312161004341254,"{""geodesic"": false, ""type"": ""Polygon"", ""coordinates"": [[[77.25750000000001, 28.4], [77.265, 28.4], [77.265, 28.40625], [77.25750000000001, 28.40625], [77.25750000000001, 28.4]]]}"
6,Built area,14.755355596138946,"{""geodesic"": false, ""type"": ""Polygon"", ""coordinates"": [[[77.265, 28.4], [77.2725, 28.4], [77.2725, 28.40625], [77.265, 28.40625], [77.265, 28.4]]]}"
6,Built area,21.227008050175037,"{""geodesic"": false, ""type"": ""Polygon"", ""coordinates"": [[[77.27250000000001, 28.4], [77.28, 28.4], [77.28, 28.40625], [77.27250000000001, 28.40625], [77.27250000000001, 28.4]]]}"
6,Built area,22.73483070088566,"{""geodesic"": false, ""type"": ""Polygon"", ""coordinates"": [[[77.28, 28.4], [77.2875, 28.4], [77.2875, 28.40625], [77.28, 28.40625], [77.28, 28.4]]]}"
6,Built area,25.15898696796314,"{""geodesic"": false, ""type"": ""Polygon"", ""coordinates"": [[[77.28750000000001, 28.4], [77.295, 28.4], [77.295, 28.40625], [77.28750000000001, 28.40625], [77.28750000000001, 28.4]]]}"
6,Built area,28.359838362663023,"{""geodesic"": false, ""type"": ""Polygon"", ""coordinates"": [[[77.295, 28.4], [77.3025, 28.4], [77.3025, 28.40625], [77.295, 28.40625], [77.295, 28.4]]]}"
6,Built area,38.15157318760699,"{""geodesic"": false, ""type"": ""Polygon"", ""coordinates"": [[[77.30250000000001, 28.4], [77.31, 28.4], [77.31, 28.40625], [77.30250000000001, 28.40625], [77.30250000000001, 28.4]]]}"
6,Built area,38.5454056971782,"{""geodesic"": false, ""type"": ""Polygon"", ""coordinates"": [[[77.31, 28.4], [77.3175, 28.4], [77.3175, 28.40625], [77.31, 28.40625], [77.31, 28.4]]]}"
6,Built area,31.85555789106984,"{""geodesic"": false, ""type"": ""Polygon"", ""coordinates"": [[[77.31750000000001, 28.4], [77.325, 28.4], [77.325, 28.40625], [77.31750000000001, 28.40625], [77.31750000000001, 28.4]]]}"
6,Built area,26.927317552938927,"{""geodesic"": false, ""type"": ""Polygon"", ""coordinates"": [[[77.325, 28.4], [77.3325, 28.4], [77.3325, 28.40625], [77.325, 28.40625], [77.325, 28.4]]]}"
6,Built area,22.962365057017358,"{""geodesic"": false, ""type"": ""Polygon"", ""coordinates"": [[[77.33250000000001, 28.4], [77.34, 28.4], [77.34, 28.40625], [77.33250000000001, 28.40625], [77.33250000000001, 28.4]]]}"
6,Built area,24.299559024882033,"{""geodesic"": false, ""type"": ""Polygon"", ""coordinates"": [[[77.34, 28.4], [77.3475, 28.4], [77.3475, 28.40625], [77.34, 28.40625], [77.34, 28.4]]]}"
6,Built area,28.386661455186744,"{""geodesic"": false, ""type"": ""Polygon"", ""coordinates"": [[[77.34750000000001, 28.4], [77.355, 28.4], [77.355, 28.40625], [77.34750000000001, 28.40625], [77.34750000000001, 28.4]]]}"
6,Built area,31.378682123648158,"{""geodesic"": false, ""type"": ""Polygon"", ""coordinates"": [[[77.355, 28.4], [77.3625, 28.4], [77.3625, 28.40625], [77.355, 28.40625], [77.355, 28.4]]]}"
6,Built area,22.55814051668591,"{""geodesic"": false, ""type"": ""Polygon"", ""coordinates"": [[[77.36250000000001, 28.4], [77.37, 28.4], [77.37, 28.40625], [77.36250000000001, 28.40625], [77.36250000000001, 28.4]]]}"
6,Built area,14.694508413541111,"{""geodesic"": false, ""type"": ""Polygon"", ""coordinates"": [[[77.37, 28.4], [77.3775, 28.4], [77.3775, 28.40625], [77.37, 28.40625], [77.37, 28.4]]]}"
4,Crops,10.28492391431654,"{""geodesic"": false, ""type"": ""Polygon"", ""coordinates"": [[[77.37750000000001, 28.4], [77.385, 28.4], [77.385, 28.40625], [77.37750000000001, 28.40625], [77.37750000000001, 28.4]]]}"
4,Crops,6.5041610426821945,"{""geodesic"": false, ""type"": ""Polygon"", ""coordinates"": [[[77.385, 28.4], [77.3925, 28.4], [77.3925, 28.40625], [77.385, 28.40625], [77.385, 28.4]]]}"
4,Crops,5.104796281694758,"{""geodesic"": false, ""type"": ""Polygon"", ""coordinates"": [[[77.39250000000001, 28.4], [77.4, 28.4], [77.4, 28.40625], [77.39250000000001, 28.40625], [77.39250000000001, 28.4]]]}"
4,Crops,4.801037076753872,"{""geodesic"": false, ""type"": ""Polygon"", ""coordinates"": [[[77.4, 28.4], [77.4075, 28.4], [77.4075, 28.40625], [77.4, 28.40625], [77.4, 28.4]]]}"
4,Crops,1.701258426985225,"{""geodesic"": false, ""type"": ""Polygon"", ""coordinates"": [[[76.8, 28.40625], [76.80749999999999, 28.40625], [76.80749999999999, 28.4125], [76.8, 28.4125], [76.8, 28.40625]]]}"
4,Crops,1.8540625241962638,"{""geodesic"": false, ""type"": ""Polygon"", ""coordinates"": [[[76.80749999999999, 28.40625], [76.81499999999998, 28.40625], [76.81499999999998, 28.4125], [76.80749999999999, 28.4125], [76.80749999999999, 28.40625]]]}"
4,Crops,2.5438448775679023,"{""geodesic"": false, ""type"": ""Polygon"", ""coordinates"": [[[76.815, 28.40625], [76.82249999999999, 28.40625], [76.82249999999999, 28.4125], [76.815, 28.4125], [76.815, 28.40625]]]}"
6,Built area,4.141725914530746,"{""geodesic"": false, ""type"": ""Polygon"", ""coordinates"": [[[76.82249999999999, 28.40625], [76.82999999999998, 28.40625], [76.82999999999998, 28.4125], [76.82249999999999, 28.4125], [76.82249999999999, 28.40625]]]}"
4,Crops,3.8740608881774494,"{""geodesic"": false, ""type"": ""Polygon"", ""coordinates"": [[[76.83, 28.40625], [76.83749999999999, 28.40625], [76.83749999999999, 28.4125], [76.83, 28.4125], [76.83, 28.40625]]]}"
4,Crops,3.3402865242596222,"{""geodesic"": false, ""type"": ""Polygon"", ""coordinates"": [[[76.83749999999999, 28.40625], [76.84499999999998, 28.40625], [76.84499999999998, 28.4125], [76.83749999999999, 28.4125], [76.83749999999999, 28.40625]]]}"
4,Crops,3.860996593494673,"{""geodesic"": false, ""type"": ""Polygon"", ""coordinates"": [[[76.845, 28.40625], [76.85249999999999, 28.40625], [76.85249999999999, 28.4125], [76.845, 28.4125], [76.845, 28.40625]]]}"
4,Crops,4.939172379068426,"{""geodesic"": false, ""type"": ""Polygon"", ""coordinates"": [[[76.85249999999999, 28.40625], [76.85999999999999, 28.40625], [76.85999999999999, 28.4125], [76.85249999999999, 28.4125], [76.85249999999999, 28.40625]]]}"
4,Crops,6.142086073353483,"{""geodesic"": false, ""type"": ""Polygon"", ""coordinates"": [[[76.86, 28.40625], [76.86749999999999, 28.40625], [76.86749999999999, 28.4125], [76.86, 28.4125], [76.86, 28.40625]]]}"
4,Crops,5.858536433044021,"{""geodesic"": false, ""type"": ""Polygon"", ""coordinates"": [[[76.86749999999999, 28.40625], [76.87499999999999, 28.40625], [76.87499999999999, 28.4125], [76.86749999999999, 28.4125], [76.86749999999999, 28.40625]]]}"
4,Crops,5.341233209983724,"{""geodesic"": false, ""type"": ""Polygon"", ""coordinates"": [[[76.875, 28.40625], [76.8825, 28.40625], [76.8825, 28.4125], [76.875, 28.4125], [76.875, 28.40625]]]}"
6,Built area,8.117537958424972,"{""geodesic"": false, ""type"": ""Polygon"", ""coordinates"": [[[76.8825, 28.40625], [76.88999999999999, 28.40625], [76.88999999999999, 28.4125], [76.8825, 28.4125], [76.8825, 28.40625]]]}"
6,Built area,11.438426248514917,"{""geodesic"": false, ""type"": ""Polygon"", ""coordinates"": [[[76.89, 28.40625], [76.8975, 28.40625], [76.8975, 28.4125], [76.89, 28.4125], [76.89, 28.40625]]]}"
